companyId,companyFullName,companyLabelList,companyShortName,companySize,businessZones
8581,纽海信息技术(上海)有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",1号店,2000人以上,['张江']
23177,上海点荣金融信息服务有限责任公司,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",点融网,500-2000人,"['五里桥', '打浦桥', '制造局路']"
57561,上海晶樵网络信息技术有限公司,"['技能培训', '绩效奖金', '岗位晋升', '管理规范']",SPD,50-150人,['打浦桥']
7502,杭州数云信息技术有限公司上海分公司,"['绩效奖金', '股票期权', '五险一金', '通讯津贴']",数云,150-500人,"['龙华', '上海体育场', '万体馆']"
130876,上海银基富力信息技术有限公司,"['年底双薪', '通讯津贴', '定期体检', '绩效奖金']",银基富力,15-50人,"['上海影城', '新华路', '虹桥']"
28095,上海青之桐投资管理有限公司,"['美女多', '出国旅游', '不打卡', '带薪年假']",青桐资本,50-150人,
2002,上海好体信息科技有限公司,"['年底双薪', '股票期权', '扁平管理', '领导好']",足球魔方,150-500人,"['龙华', '植物园', '上海南站']"
21863,上海安硕信息技术股份有限公司,"['岗位晋升', '顶尖团队', '福利优厚', '股票期权']",安硕信息（amarsoft）,2000人以上,"['黄兴公园', '长白新村', '延吉']"
121208,上海崇杏健康管理咨询有限公司,"['扁平管理', '弹性工作', '岗位晋升', '领导好']",上海崇杏,15-50人,"['上海电视台', '南京西路', '人民广场']"
58109,五五海淘（上海）科技股份有限公司,"['股票期权', '带薪年假', '绩效奖金', '岗位晋升']",55海淘,150-500人,"['漕宝路', '万源城', '东兰路']"
1938,莉莉丝科技（上海）有限公司,"['都是萌妹子', '项目奖金', '零食无限量', '国内外旅游']",莉莉丝游戏,150-500人,"['万源城', '漕宝路', '东兰路']"
51223,我厨（上海）科技有限公司,"['节日礼物', '技能培训', '带薪年假', '岗位晋升']",我厨（上海）科技有限公司,150-500人,
36009,上海阑途信息技术有限公司,"['技能培训', '节日礼物', '免费班车', '绩效奖金']",途虎养车网,500-2000人,"['梅陇', '南方商城', '古美']"
63922,上海麦子资产管理有限公司,"['工资自己定', '期权任性发', '金融狂人聚集', '半年晋升']",麦子金服,500-2000人,"['肇嘉浜路', '徐家汇', '交通大学']"
48294,上海如旺电子商务有限公司,"['年底双薪', '节日礼物', '技能培训', '免费班车']",旺旺集团火热招聘,50-150人,"['虹桥', '古北', '虹梅路']"
149677,上海君同德翔管理咨询有限公司,,Juntong Capital,少于15人,['淮海路']
57577,上海清源绿网科技有限公司,"['节日礼物', '带薪年假', '绩效奖金', '扁平管理']",清源大数据,15-50人,['张江']
93141,上海融之家金融信息服务有限公司,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",融之家,500-2000人,
143807,上海远目投资管理有限公司,,大观资本,少于15人,
73539,北京数字新思科技有限公司,"['年底双薪', '带薪年假', '年度旅游', '领导好']",数字新思,15-50人,"['田林', '徐家汇']"
146592,上海甫田贸易有限公司,"['带薪年假', '技能培训', '管理规范', '帅哥多']",甫田网Fields,150-500人,['龙华']
7069,伽蓝（集团）股份有限公司,"['绩效奖金', '年底双薪', '五险一金', '通讯津贴']",伽蓝,2000人以上,
25499,路通世纪(中国)科技有限公司,"['五险一金', '免费班车', '绩效奖金', '年底双薪']",汤森路透,2000人以上,"['东外滩', '陆家嘴', '外滩']"
47063,中国四达国际经济技术合作有限公司上海分公司,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",中国四达,50-150人,"['淮海路', '人民广场', '老西门']"
113080,银联数据服务有限公司,,银联数据,500-2000人,['唐镇']
35713,德佑房地产经纪有限公司,"['技能培训', '带薪年假', '年度旅游', '岗位晋升']",上海链家(原德佑),2000人以上,
47993,上海网鱼信息科技有限公司,"['年底双薪', '带薪年假', '年度旅游', '岗位晋升']",网鱼网咖.鱼泡泡,50-150人,"['漕宝路', '万源城', '东兰路']"
55581,上海链家房地产经纪有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",链家（上海）,2000人以上,"['吴江路', '上海电视台', '南京西路']"
42029,上海萨图西网络有限公司,"['弹性工作', '比特币', 'Slack', '标配Mac']",BTCC,50-150人,
73757,上海财安金融服务集团股份有限公司,"['技能培训', '带薪年假', '岗位晋升', '管理规范']",财安金融,2000人以上,"['大柏树', '运光', '江湾']"
30533,上海好居信息科技有限公司,"['股票期权', '岗位晋升', '扁平管理', '补充商业保险']",悟空找房,500-2000人,"['交通大学', '虹桥', '徐家汇']"
10215,上海游竞网路科技有限公司,"['美女多', '交通补助', '午餐补助', '绩效奖金']",PLU游戏娱乐传媒,500-2000人,"['汶水路', '大宁路', '闸北公园']"
22321,上海晶赞科技发展有限公司,"['项目奖金', '带薪休假', '美女多', '硅谷工作机会']",晶赞科技Zamplus,150-500人,"['汶水路', '大宁路', '共和新路']"
32836,上海趣盛网络科技有限公司,"['年底双薪', '绩效奖金', '岗位晋升', '定期体检']",达达,500-2000人,"['八佰伴', '东外滩', '梅园']"
34683,上海秦苍信息科技有限公司,"['美式企业文化', '节日礼物', '股票期权', '岗位晋升']",买单侠,500-2000人,
51480,拉扎斯网络科技（上海）有限公司,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",饿了么,2000人以上,"['长征', '曹杨']"
30830,上海幻电信息科技有限公司,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']",哔哩哔哩,500-2000人,"['东外滩', '梅园', '源深体育中心']"
126229,上海寒诀网络科技有限公司,,麦萌漫画,50-150人,
16975,上海银天下科技有限公司,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",银天下科技,2000人以上,"['南码头', '六里', '东明路']"
37571,上海思贤信息技术股份有限公司,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",思贤股份,15-50人,"['徐家汇', '交通大学']"
13163,浙江每日互动网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",个推,150-500人,
35049,钛马车联网（上海）网络技术有限公司,"['车联网', '带薪年假', '岗位晋升', '扁平管理']",钛马车联网,150-500人,"['虹桥', '虹梅路', '田林']"
