web-scraper-order,web-scraper-start-url,link,link-href,department,job_title,salary,work_place,work_year,education,work_type,position_label,publish_time,job_advantage,job_desc,work_addr,company_name,company_industry,company_state,company_scale,company_page
"1526582932-1072","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据分析师
                        
                            
                                
                                    [三墩]","https://www.lagou.com/jobs/3333115.html","浙江执御信息技术有限公司运营部门招聘","数据分析师","10k-20k","/杭州 /","经验3-5年 /","学历不限 /","全职","资深
                                        高级
                                        业务运营
                                        数据分析
                                        BI
                                        商业","09:19  发布于拉勾网","晋升空间,团队管理,年终奖金,旅游活动","1、负责运营团队管理数据整理工作；
2、负责kpi核心指标体系持续跟踪工作，相关项目的数据分析需求，跨部门沟通并推进上线；
3、通过数据发现运营环节中的各种问题，薄弱环节和漏洞，提出改善和优化方案，并督导优化方案的执行；
4、深入理解业务战略和方向，与业务一起构建数据体系、日常报表并推动数据产品化，协助运营质量管理体系完善。
要求：
1、统计学、经济学、计算机相关专业，本科及以上学历，2年以上数据分析相关工作经验；
2、对数据非常敏感，具备良好的逻辑思维能力、组织沟通能力和团队精神，勇于承担责任；
3、熟练使用ppt，visio等office软件，精通excel高级功能（如数据透视表，函数等）；
4、精通sql语言，熟悉sas、spss、r、clementine等统计分析软件者优先；
5、互联网电商行业背景优先。","杭州市市市 -
                    拱墅区 -
                    三墩
                                            - 祥茂路2号影天印业园区1幢3楼
                                                            查看地图","浙江执御信息技术有限公司
                                                    
                    拉勾认证企业","移动互联网,数据服务
                领域","B轮
                发展阶段","富安娜(A轮)
                投资机构","2000人以上
                规模"
"1526575019-737","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","三维重建视觉算法工程师--大数据(J13473)
                        
                            
                                
                                    [西湖]","https://www.lagou.com/jobs/2562334.html","滴滴出行大数据招聘","三维重建视觉算法工程师--...","25k-50k","/杭州 /","经验3-5年 /","硕士及以上 /","全职","图像处理
                                        数据
                                        算法
                                        大数据","12:04  发布于拉勾网","15薪、六险一金、期权、体检","工作职责：

1.具有计算机等相关专业本科及以上学历；

2.编程基础扎实，熟悉Linux操作系统，有较丰富cc++、python等开发经验；

3.熟悉multiview geometry和计算机视觉基本算法；

4.有立体视觉经验者优先；

5.有深度学习经验者优先；

6.具备较好的沟通表达能力和团队合作意识。





任职资格：

1.协助完成视觉三维重建相关的算法开发；

2.工作内容包括但不限于：立体匹配，structure from motion (sfm)visual slam，sensor fusion (sfm+imu+gps)，点云数据处理等。","杭州市 -
                    西湖区 -
                    西湖
                                            - 杭州西湖区
                                                            查看地图","滴滴出行
                                                    
                    拉勾认证企业","移动互联网
                领域","不需要融资
                发展阶段","2000人以上
                规模","http://www.didichuxing.com
                公司主页"
"1526580346-1029","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据分析师
                        
                            
                                
                                    [古墩路]","https://www.lagou.com/jobs/3850946.html","深圳雅乐运营部招聘","数据分析师","10k-20k","/杭州 /","经验1-3年 /","本科及以上 /","全职","数据分析
                                        大数据
                                        数据挖掘","15:19  发布于拉勾网","做五休二,五险一金,年度体检,无限零食","岗位职责：
1、 深入理解业务运作和产品特点，通过数据分析建立模型，以获取用户画像；
2、 对运营、产品、销售等数据进行实时分析与挖掘，推动发现新的业务优化点和增长点，并建立相应的数据支持体系；
3、建立和完善日常业务数据报告体系。
 
任职要求：
1、 2年以上互联网产品数据挖掘或分析经验，本科及以上学历，统计、数学、计算机相关专业优先；
2. 、充分的数据敏感度，踏实审慎，具备良好的沟通能力和团队合作精神；
3、精通SQL，EXCLE数据处理能力强，至少会一门脚本语言（例如Python）
4、主动性强，能深刻理解业务，对数据化运营有一定了解。


-福利：不加班！不加班！
-双休、朝九晚六、入职就交五险一金、法定节假日、绩效奖金、年度体检
-员工团建活动、无限零食、NICE领导和单身妹子
-帅气的外籍同事、健身房、办公环境优美，工作氛围轻松愉快
-你值得最好的~~ 期待加入我们！
注：现加入我司，年会将有机会抽取 iphone一系列电子产品，如iphoneX手机等。另有大量现金红包、微信红包，期待你们的加入~","杭州 -
                    西湖区 -
                    古墩路
                                            - 申花路剑桥公社
                                                            查看地图","深圳雅乐
                                                    
                    拉勾未认证企业","移动互联网,电子商务
                领域","A轮
                发展阶段","50-150人
                规模","http://www.lagou.com/gong...
                公司主页"
"1526575618-835","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据产品经理
                        
                            
                                
                                    [西溪]","https://www.lagou.com/jobs/3596055.html","蜂融网络产品部招聘","数据产品经理","10k-20k","/杭州 /","经验1-3年 /","本科及以上 /","全职","云计算
                                        大数据
                                        数据可视化
                                        数据分析
                                        产品经理","09:32  发布于拉勾网","发展迅速,全员持股,国外旅游,不打卡","【岗位名称】数据产品经理
【需求人数】1
【重点要求】
1、具有大数据、云计算、数据仓库、数据挖掘的技术背景为佳；
2、有数据系统方面工作经验的优先；
【任职条件】
1、本科及以上学历，统计数学、应用数学、计算机等相关专业；
2、3年以上数据产品工作经验，有大数据行业BI产品经验者优先（如talkingdata、growingio，百度统计等）；
3、熟练使用Axure RP、visio、Mind Manager等工具，独立完成产品原型及产品流程图；
4、善于思考，习惯性尝试前沿新潮产品，对数据产品设计有深入见解；
5、乐观积极、抗压力强，具备良好的逻辑思维能力和跨部门沟通、协调和执行能力；
【岗位职责】
1、负责数据后台功能，包括自助报表、自助Dashboard搭建；
2、跟踪业务产品需求，将产品、业务及运营需求转化为数据可视化产品方案；
3、协调各团队资源，保障项目按计划推进、交付；
4、进行数据整合梳理，分析数据的关联性，挖掘数据内在价值；
5、基于数据资源，配合业务需求，实现数据组件控件化。","杭州 -
                    西湖区 -
                    西溪
                                            - 杭州市西湖区文一西路767号西溪国际商务中心D幢
                                                            查看地图","蜂融网络
                                                    
                    拉勾认证企业","移动互联网,金融
                领域","A轮
                发展阶段","灵犀资本(A轮)
                投资机构","50-150人
                规模"
"1526577279-978","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据分析专家
                        
                            
                                
                                    [古墩路]","https://www.lagou.com/jobs/3990582.html","酷家乐研发部招聘","数据分析专家","22k-35k","/杭州 /","经验3-5年 /","本科及以上 /","全职","专家
                                        大数据
                                        数据分析
                                        数据挖掘","2天前  发布于拉勾网","期权激励、年度旅游、弹性工作、氛围欢乐","岗位描述：
1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题
2. 通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持
3. 沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地
4. 与相关团队协作进行数据建模工作，推动业务部门的数据化运营
5. 与相关团队协作（如数据运营团队）组织数据技术与产品相关的理念、技能、工具的培训
岗位要求：
1. 3年以上数据分析相关工作经历
2. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题
3. 良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验
4. 熟练运用SQL、Hive，熟悉hadoop生态相关技术，能高效的与数据技术团队进行沟通，有技术背景者尤佳
5. 大项目的经验，有丰富的跨团队、部门的项目资源整合能力，能够独立推进数据分析结果落地","杭州 -
                    拱墅区 -
                    古墩路
                                            - 矩阵国际1号楼11-14层
                                                            查看地图","酷家乐
                                                    
                    拉勾认证企业","移动互联网
                领域","D轮及以上
                发展阶段","GGV、IDG、经纬、线性资本、云启资本、赫斯特资本(B轮)，IDG(A轮)
                投资机构","500-2000人
                规模"
"1526575403-792","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据开发J10571
                        
                            
                                
                                    
                                        [江干区]","https://www.lagou.com/jobs/4235997.html","微贷网研发中心招聘","数据开发J10571","15k-25k","/杭州 /","经验3-5年 /","本科及以上 /","全职","资深
                                        高级
                                        BI
                                        数据开发
                                        ETL
                                        数据仓库","2018-05-10  发布于拉勾网","扁平化,发展空间,丰厚下午茶,超额分享","工作职责:

1、数据源分析数据仓库建模 
2、完成数据清洗和转化
3、使用ETL工具完成数据加载
4、针对业务场景提炼字段形成各个主题的宽表 书写Sql脚本提取分析团队需要的指标数据 5、数据字典编写，形成对其它团队的数据接口文档
6、与业务人员沟通，掌握业务需求，理解业务规则。 
 
任职资格:

 1、计算机等相关专业毕业2年以上工作经验 
 2、熟悉一种常见的关系型数据库
 3、熟悉hive sql
 4、熟悉大数据环境下数据开发更佳
 5、耐心、细心乐于解决具有挑战性的技术问题 
 6、有较好的逻辑思维能力、学习能力与团队协作能力""","杭州 -
                    江干区
                                            - 解放东路33号财富金融中心25楼
                                                            查看地图","微贷网
                                                    
                    拉勾认证企业","金融
                领域","C轮
                发展阶段","嘉御基金(C轮)，汉鼎股份(A轮,B轮)，盛大投资(A轮)
                投资机构","2000人以上
                规模"
"1526575075-748","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","算法工程师/大数据工程师
                        
                            
                                
                                    [四季青]","https://www.lagou.com/jobs/1248690.html","蓝鸽集团科研院招聘","算法工程师/大数据工程师","12k-20k","/杭州 /","经验不限 /","硕士及以上 /","全职","数据
                                        算法
                                        大数据","3天前  发布于拉勾网","提供住宿 五险一金 节日福利 加班补贴","【岗位职责】
1、研究大数据项目分析方法和大数据系统解决方案；
2、负责公司教育产品的机器翻译、机器学习、智能化识别等课题的研究和开发；


【岗位要求】
1、硕士及以上学历，计算机、软件、通信、模式识别等相关专业；
2、熟悉机器学习、人工智能等常用算法、具有数据挖掘等相关知识；
3、有较好的机器学习和模式分类等相关方面的理论基础和实践经验；
4、积极主动，有良好的沟通能力、团队协作精神和钻研精神。


福利
1.免费员工公寓（提供热水器、免费wifi等）
2.员工餐厅供应三餐；
3.五险一金齐全，社保体系完善；
4.处于业界较高水平的薪资待遇，每年1-2次的薪资晋升；
5.篮球场、羽毛球场、台球室、乒乓球室等休闲设施场所供应；
6.定期健康检查、贴心的生日礼物、节日礼物；
7.五天工作制，带薪假期（年假、病假、婚假、产假）；
8.花园式的工作环境，宽敞明亮的办公环境。


发展平台
1.国家大力支持的朝阳行业，博士后工作站，蓝鸽科研院，重视技术发展，培训、交流机会多；

2.新员工参加一个月的培训，一对一导师制，表现优秀可以进入公司战略人才培养计划；

3.公司大力启用优秀人才，两年带项目不是梦；

4.开发人员往“技术专家”和“高层管理”双线发展，公司百分之八十的技术高管和管理人才都是从内部选拔提升。","杭州 -
                    江干区 -
                    四季青
                                            - 杭州
                                                            查看地图","蓝鸽集团
                                                    
                    拉勾认证企业","移动互联网,企业服务
                领域","不需要融资
                发展阶段","500-2000人
                规模","http://www.gzlange.com.cn/
                公司主页"
"1526580166-1026","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据分析师
                        
                            
                                
                                    
                                        [拱墅区]","https://www.lagou.com/jobs/4341657.html","浙江执御信息技术有限公司支付事业部招聘","数据分析师","15k-25k","/杭州 /","经验3-5年 /","本科及以上 /","全职","资深
                                        金融
                                        支付
                                        运营
                                        数据分析
                                        电商","10:34  发布于拉勾网","发展空间大,公司氛围好,扁平化管理,年终奖","岗位职责：
1. 负责Jollypay的数据体系搭建与数据产品建设；
2. 负责c端用户支付行为分析、风险分析等，为支付方式转化提供决策建议；
3. 通过分析/挖掘数据，探索业务机会点并能形成自己对业务的独特见解；
4. 探索数据在业务中的应用，探索数据产品化的机会，让数据在业务中发挥更大的价值。


岗位要求：
1. 本科及以上学历，统计学、计算机等相关专业；
2. 3年及以上互联网金融或电商行业相关数据分析工作经验；
3. 熟练掌握Excel、SQL、PPT及至少一种常用数据分析工具（SPSS/SAS/R/Python等）；
4. 熟悉数据分析常用理论和方法，对数据敏感，逻辑思维能力强；
5. 工作认真严谨，良好的沟通能力、团队精神及抗压能力。




如果你是我们招募的理想伙伴，公司将为你提供：
—— 和你能力匹配的并且有竞争力的薪资水平：基本薪资+交通补贴+高额外派/出差补贴+午餐补贴+全勤奖+年终奖+每年2次调薪机会+期权奖励机会+各种优秀员工奖励机会等
—— 透明完善的福利政策和丰富多彩的执御文化：五险一金+结婚生育礼金+员工生日礼金+节假日福利+年度海外旅游+年度体检+七大俱乐部活动等
—— 完整的培训体系和一展才华的晋升机会：入职培训+通用培训+技能培训+管理培训+健康培训+多方向多空间的晋升机制+扁平化管理等","杭州 -
                    拱墅区
                                            - 祥茂路99号科锐园区6座2-3层
                                                            查看地图","浙江执御信息技术有限公司
                                                    
                    拉勾认证企业","移动互联网,数据服务
                领域","B轮
                发展阶段","富安娜(A轮)
                投资机构","2000人以上
                规模"
"1526574664-666","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","数据仓库开发工程师（XHX）
                        
                            
                                
                                    
                                        [拱墅区]","https://www.lagou.com/jobs/4417423.html","铭师堂技术组招聘","数据仓库开发工程师（XHX）","16k-32k","/杭州 /","经验3-5年 /","本科及以上 /","全职","高级
                                        数据分析
                                        数据挖掘
                                        数据仓库","1天前  发布于拉勾网","管理扁平,潜力项目,教育直播,团队氛围好","工作职责：
1.参与数据产品或数据仓库应用项目的ETL设计、开发、维护或项目管理；
2.参与数据产品相关算法的设计与落地实现；
3.参与数据仓库基础设施和平台的建设，搭建电商、视频、咨询等领域企业级数据仓库；
4.和数据分析师团队及需求部门进行有效沟通，报告项目进度及问题解决等。
职位要求：
1.熟悉主流关系数据库,熟练SQL开发，熟悉linux系统、shell编程
2.精通数据仓库的ETL的开发,有海量数据处理相关经验；
3.熟悉数据仓库领域数据模型设计方法，并有相关设计经验；
4.熟悉Hadoop、HIVE、HBase、Strom、Kafka、 Flume、Spark等开源框架，优先考虑
5.较好的沟通理解能力，性格乐观，态度踏实，积极上进；
6.能够承担项目中系统分析设计及数据建模。","杭州 -
                    拱墅区
                                            - 祥符街道祥园路108号A座9楼
                                                            查看地图","铭师堂
                                                    
                    拉勾认证企业","移动互联网,教育
                领域","不需要融资
                发展阶段","500-2000人
                规模","http://www.mistong.com
                公司主页"
"1526575358-783","https://www.lagou.com/jobs/list_%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88?city=%E6%9D%AD%E5%B7%9E","大数据软件工程师
                        
                            
                                
                                    [四季青]","https://www.lagou.com/jobs/1417609.html","蓝鸽集团招聘","大数据软件工程师","12k-15k","/杭州 /","经验不限 /","本科及以上 /","全职","数据
                                        软件
                                        大数据","3天前  发布于拉勾网","提供住宿、周末双休、五险一金、节日福利","岗位职责：
1、结合公司大数据分析平台的规划，搭建以hadoop技术体系为核心的集群环境；
2、结合业务的实际数据情况，设计、开发基于hdfs/hbase/hive的数据查询分析；
3、辅助运维人员管理Hadoop集群环境，不断提高系统运行效率；
4、大规模日志分析、统计和建模。
岗位要求：
1、硕士及以上学历，计算机、软件等相关专业；
2、精通java语言，熟悉JVM运行原理；
3、熟悉hadoop框架，熟练应用map-reduce，拥有海量数据分布式系统的开发经验优先；
4、熟悉Java、Shell，可以熟练使用Linux操作系统，了解Linux集群技术者优先；
5、了解数据挖掘技术，对数据结构、算法有所理解；
6、熟悉shell, python 或 R语言加分。","杭州 -
                    江干区 -
                    四季青
                                            - 杭州
                                                            查看地图","蓝鸽集团
                                                    
                    拉勾认证企业","移动互联网,企业服务
                领域","不需要融资
                发展阶段","500-2000人
                规模","http://www.gzlange.com.cn/
                公司主页"
