positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
2537336,上海,8581,技术,数据开发,硕士,移动互联网,知名平台,数据分析师,"['分析师', '数据分析', '数据挖掘', '数据']",7k-9k,应届毕业生
2427485,上海,23177,技术,数据开发,本科,金融,"挑战机会,团队好,与大牛合作,工作环境好",数据分析师-CR2017-SH2909,"['分析师', '数据分析', '数据挖掘', '数据']",10k-15k,应届毕业生
2511252,上海,57561,设计,数据分析,本科,移动互联网,"时间自由,领导nic",数据分析师,"['分析师', '数据分析', '数据']",4k-6k,应届毕业生
2427530,上海,7502,市场与销售,数据分析,本科,"企业服务,数据服务",五险一金 绩效奖金 带薪年假 节日福利,大数据业务分析师【数云校招】,"['商业', '分析师', '大数据', '数据']",6k-8k,应届毕业生
2245819,上海,130876,技术,软件开发,本科,其他,在大牛下指导,BI开发/数据分析师,"['分析师', '数据分析', '数据', 'BI']",2k-3k,应届毕业生
2580543,上海,28095,金融类,天使投资/VC/PE,本科,金融,"留用机会,精品投行,优秀团队,氛围轻松",助理分析师,"['实习', '投资', 'FA', '行业研究', '分析师']",10k-15k,应届毕业生
1449715,上海,2002,技术,后端开发,本科,"移动互联网,电子商务",薪资福利待遇好，晋升空间大,数据工程师,['数据'],7k-14k,应届毕业生
2568628,上海,21863,产品/需求/项目类,产品设计/需求分析,硕士,金融,健康体检,数据咨询顾问(2017年毕业),"['需求分析', '顾问', '咨询', '咨询顾问', '数据']",5k-7k,应届毕业生
2416852,上海,121208,技术,后端开发,本科,"移动互联网,医疗健康","扁平管理,上升空间大,领导好,弹性工作",数据处理工程师（实习生）,"['后端开发', '数据']",4k-8k,应届毕业生
1605795,上海,58109,技术,后端开发,本科,电子商务,向大牛学习，有留司机会,数据处理实习生,['数据'],2k-4k,应届毕业生
2157863,上海,1938,技术,后端开发,本科,"移动互联网,游戏",带薪年假 节日福利 出国机会 萌妹纸多,大数据平台开发实习生,"['平台', '大数据', '数据']",5k-6k,应届毕业生
2548985,上海,51223,设计,用户研究,本科,"电子商务,O2O","可转正,成长空间大",数据分析专员（实习生）,"['数据分析', '数据']",2k-4k,应届毕业生
2392425,上海,36009,技术,软件开发,本科,移动互联网,"有爱的同事,欢快的氛围",BI数据分析实习生（2017年毕业）,"['数据分析', '数据', 'BI']",2k-3k,应届毕业生
1243515,上海,63922,市场与销售,市场/营销,本科,"移动互联网,金融",工资自己定，期权任性发，半年晋升,数据专员,['数据'],4k-6k,应届毕业生
2392372,上海,48294,技术,后端开发,硕士,"电子商务,社交网络",旺旺集团旗下电商，扁平管理，人性化环境,数据工程师(大数据方向实习生),"['大数据', '数据']",4k-8k,应届毕业生
2427555,上海,23177,技术,后端开发,本科,金融,"机会挑战,技术牛,团队年轻,工作环境好",数据研发工程师-CR2017-SH2913,['数据'],10k-15k,应届毕业生
